,Setor,Subsetor,Empresa,Ticker
171,Materiais Básicos,Madeira e Papel,KLABIN S/A  ,KLBN
172,Consumo Cíclico,Comércio,LOJAS AMERIC,LAME
173,Consumo Cíclico,Diversos,LOCAMERICA,LCAM
174,Consumo Cíclico,Automóveis e Motocicletas,METAL LEVE  ,LEVE
175,Utilidade Pública,Energia Elétrica,LIGHT S/A   ,LIGT
176,Tecnologia da Informação,Programas e Serviços,LINX,LINX
177,Consumo Cíclico,Comércio,LE LIS BLANC,LLIS
178,Financeiro,Exploração de Imóveis,LOG COM PROP,LOGG
179,Bens Industriais,Transporte,LOG-IN      ,LOGN
180,Financeiro,Exploração de Imóveis,LOPES BRASIL,LPSB
181,Consumo Cíclico,Comércio,LOJAS RENNER,LREN
182,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",LUPATECH    ,LUPA
183,Bens Industriais,Transporte,TREVISA     ,LUXM
184,Tecnologia da Informação,Programas e Serviços,LOCAWEB,LWSA
185,Outros,Outros,CEMEPE      ,MAPT
186,Consumo não Cíclico,Alimentos Processados,M.DIASBRANCO,MDIA
187,Consumo Cíclico,Construção Civil,MOURA DUBEUX,MDNE
188,Consumo Cíclico,Hoteis e Restaurantes,IMC S/A,MEAL
189,Financeiro,Intermediários Financeiros,MERC FINANC ,MERC
190,Materiais Básicos,Siderurgia e Metalurgia,MANGELS INDL,MGEL
191,Consumo Cíclico,Comércio,MAGAZ LUIZA ,MGLU
192,Bens Industriais,Construção e Engenharia,MILLS       ,MILS
193,Materiais Básicos,Mineração,MMX MINER   ,MMXM
194,Consumo Cíclico,"Tecidos, Vestuário e Calçados",MUNDIAL     ,MNDL
195,Consumo não Cíclico,Alimentos Processados,MINUPAR     ,MNPR
196,Financeiro,Holdings Diversificadas,MONT ARANHA ,MOAR
197,Consumo Cíclico,Diversos,MOVIDA,MOVI
198,Consumo não Cíclico,Alimentos Processados,MARFRIG     ,MRFG
199,Consumo Cíclico,Construção Civil,MRV         ,MRVE
200,Materiais Básicos,Madeira e Papel,MELHOR SP   ,MSPA
201,Materiais Básicos,Embalagens,METAL IGUACU,MTIG
202,Consumo Cíclico,Construção Civil,MITRE REALTY,MTRE
203,Bens Industriais,Máquinas e Equipamentos,METISA      ,MTSA
204,Financeiro,Exploração de Imóveis,MULTIPLAN   ,MULT
205,Bens Industriais,Material de Transporte,WETZEL S/A  ,MWET
206,Consumo Cíclico,Automóveis e Motocicletas,IOCHP-MAXION,MYPK
207,Utilidade Pública,Energia Elétrica,NEOENERGIA  ,NEOE
208,Bens Industriais,Máquinas e Equipamentos,NORDON MET  ,NORD
209,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,GRUPO NATURA      ,NTCO
210,Materiais Básicos,Químicos,NUTRIPLANT  ,NUTR
211,Saúde,"Serviços Médico - Hospitalares,Análises e Diagnósticos",ODONTOPREV  ,ODPV
212,Saúde,Medicamentos e Outros Produtos,OUROFINO S/A,OFSA
213,Comunicações,Telecomunicações,OI,OIBR
214,Utilidade Pública,Energia Elétrica,OMEGA GER,OMGE
215,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",OSX BRASIL  ,OSXB
216,Saúde,"Serviços Médico - Hospitalares,Análises e Diagnósticos",IHPARDINI,PARD
217,Materiais Básicos,Siderurgia e Metalurgia,PANATLANTICA,PATI
218,Consumo não Cíclico,Comércio e Distribuição,P.ACUCAR-CBD,PCAR
219,Consumo Cíclico,Construção Civil,PDG REALT   ,PDGR
220,Financeiro,Holdings Diversificadas,PAR AL BAHIA,PEAB
221,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",PETROBRAS   ,PETR
222,Saúde,Comércio e Distribuição,PROFARMA    ,PFRM
223,Financeiro,Intermediários Financeiros,PINE        ,PINE
224,Consumo Cíclico,Automóveis e Motocicletas,PLASCAR PART,PLAS
225,Materiais Básicos,Siderurgia e Metalurgia,PARANAPANEMA,PMAM
226,Saúde,Comércio e Distribuição,DIMED       ,PNVL
227,Bens Industriais,Material de Transporte,MARCOPOLO   ,POMO
228,Tecnologia da Informação,Computadores e Equipamentos,POSITIVO TEC,POSI
229,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",PETRORIO,PRIO
230,Bens Industriais,Serviços Diversos,PRINER,PRNR
231,Financeiro,Previdência e Seguros,PORTO SEGURO,PSSA
232,Bens Industriais,Construção e Engenharia,PORTOBELLO  ,PTBL
233,Consumo Cíclico,"Tecidos, Vestuário e Calçados",PETTENATI   ,PTNT
234,Saúde,"Serviços Médico - Hospitalares,Análises e Diagnósticos",QUALICORP   ,QUAL
235,Saúde,Comércio e Distribuição,RAIADROGASIL    ,RADL
236,Bens Industriais,Transporte,RUMO S.A.,RAIL
237,Materiais Básicos,Madeira e Papel,IRANI ,RANI
238,Bens Industriais,Material de Transporte,RANDON PART ,RAPT
239,Bens Industriais,Material de Transporte,RECRUSUL    ,RCSL
240,Consumo Cíclico,Construção Civil,RNI,RDNI
241,Utilidade Pública,Energia Elétrica,REDE ENERGIA,REDE
242,Consumo Cíclico,Diversos,LOCALIZA    ,RENT
243,Bens Industriais,Transporte,COSAN LOG,RLOG
244,Utilidade Pública,Energia Elétrica,RENOVA      ,RNEW
245,Bens Industriais,Máquinas e Equipamentos,INDS ROMI   ,ROMI
246,Financeiro,Intermediários Financeiros,ALFA HOLDING,RPAD
247,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",PET MANGUINH,RPMG
248,Consumo Cíclico,Construção Civil,ROSSI RESID ,RSID
249,Bens Industriais,Material de Transporte,RIOSULENSE  ,RSUL
250,Financeiro,Intermediários Financeiros,SANTANDER BR,SANB
251,Utilidade Pública,Água e Saneamento,SANEPAR     ,SAPR
252,Utilidade Pública,Água e Saneamento,SABESP      ,SBSP
253,Financeiro,Exploração de Imóveis,SAO CARLOS  ,SCAR
254,Consumo Cíclico,Diversos,SER EDUCA,SEER
255,Consumo Cíclico,"Tecidos, Vestuário e Calçados",SPRINGS     ,SGPS
256,Consumo Cíclico,Viagens e Lazer,TIME FOR FUN,SHOW
257,Bens Industriais,Máquinas e Equipamentos,SCHULZ      ,SHUL
258,Consumo não Cíclico,Agropecuária,SLC AGRICOLA,SLCE
259,Consumo Cíclico,Comércio,SARAIVA LIVR,SLED
260,Consumo Cíclico,Diversos,SMILES,SMLS
261,Consumo não Cíclico,Alimentos Processados,SAO MARTINHO,SMTO
262,Materiais Básicos,Materiais Diversos,SANSUY      ,SNSY
263,Bens Industriais,Construção e Engenharia,SONDOTECNICA,SOND
264,Financeiro,Holdings Diversificadas,SPRINGER    ,SPRI
265,Tecnologia da Informação,Programas e Serviços,SINQIA,SQIA
266,Bens Industriais,Transporte,SANTOS BRP  ,STBP
267,Financeiro,Previdência e Seguros,SUL AMERICA ,SULA
268,Materiais Básicos,Madeira e Papel,SUZANO S.A.,SUZB
269,Utilidade Pública,Energia Elétrica,TAESA       ,TAEE
270,Bens Industriais,Máquinas e Equipamentos,TAURUS ARMAS,TASA
271,Bens Industriais,Construção e Engenharia,TECNOSOLO   ,TCNO
272,Consumo Cíclico,Construção Civil,TECNISA     ,TCSA
273,Consumo Cíclico,"Tecidos, Vestuário e Calçados",TECHNOS     ,TECN
274,Consumo Cíclico,"Tecidos, Vestuário e Calçados",TEKA        ,TEKA
275,Comunicações,Telecomunicações,TELEBRAS    ,TELB
276,Consumo Cíclico,Construção Civil,TENDA,TEND
277,Consumo não Cíclico,Agropecuária,TERRA SANTA,TESA
278,Bens Industriais,Transporte,TEGMA       ,TGMA
279,Utilidade Pública,Energia Elétrica,AES TIETE E,TIET
280,Comunicações,Telecomunicações,TIM PART S/A,TIMP
281,Tecnologia da Informação,Programas e Serviços,TOTVS       ,TOTS
282,Bens Industriais,Transporte,TRIUNFO PART,TPIS
283,Consumo Cíclico,Construção Civil,TRISUL      ,TRIS
284,Utilidade Pública,Energia Elétrica,TRAN PAULIST,TRPL
285,Bens Industriais,Material de Transporte,TUPY        ,TUPY
286,Consumo Cíclico,"Tecidos, Vestuário e Calçados",TEX RENAUX  ,TXRX
287,Consumo Cíclico,Utilidades Domésticas,UNICASA,UCAS
288,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",ULTRAPAR    ,UGPA
289,Materiais Básicos,Químicos,UNIPAR      ,UNIP
290,Materiais Básicos,Siderurgia e Metalurgia,USIMINAS    ,USIM
291,Materiais Básicos,Mineração,VALE        ,VALE
292,Consumo Cíclico,"Tecidos, Vestuário e Calçados",VIVARA S.A.,VIVA
293,Consumo Cíclico,Construção Civil,VIVER       ,VIVR
294,Comunicações,Telecomunicações,TELEF BRASIL,VIVT
295,Bens Industriais,Serviços Diversos,VALID       ,VLID
296,Consumo Cíclico,"Tecidos, Vestuário e Calçados",VULCABRAS   ,VULC
297,Consumo Cíclico,Comércio,VIAVAREJO,VVAR
298,Bens Industriais,Máquinas e Equipamentos,WEG         ,WEGE
299,Consumo Cíclico,Utilidades Domésticas,WHIRLPOOL   ,WHRL
300,Financeiro,Previdência e Seguros,WIZ S.A.,WIZS
301,Bens Industriais,Comércio,WLM IND COM ,WLMM
302,Bens Industriais,Transporte,WILSON SONS ,WSON
303,Consumo Cíclico,Diversos,YDUQS PART,YDUQ
